Filer,View,Title,Dept/Board,File Type,Date Filed,Amended
"Tokuda, Jill Naomi",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5639.pdf),"Legislator, District 24",Senate,Financial,02/09/2015,true
"Zielinski, Maria E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5634.pdf),Director,Department of Taxation,Financial,02/05/2015,false
"Pressler, Virginia M.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5623.pdf),Director,Department of Health,Financial,02/04/2015,false
"Espinda, Nolan P.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-9128.pdf),Director,Department of Public Safety,Financial,02/03/2015,false
"Colon, Catherine P.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8931.pdf),Director,Department of Commerce and Consumer Affairs,Financial,02/03/2015,false
"Ichiyama, Linda Eileen",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5576.pdf),"Legislator, District 32",House of Representatives,Financial,02/02/2015,false
"Ihara, Les S.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8765.pdf),"Legislator, District 10",Senate,Financial,02/02/2015,false
"Wakai, Glenn Satoru",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5604.pdf),"Legislator, District 15",Senate,Financial,02/02/2015,false
"Onishi, Richard H.K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5601.pdf),"Legislator, District 3",House of Representatives,Financial,02/02/2015,false
"Souki, Joseph Mark",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5600.pdf),"Legislator, District 8",House of Representatives,Financial,02/02/2015,false
"Ing, Mark Kaniela",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5598.pdf),"Legislator, District 11",House of Representatives,Financial,02/02/2015,false
"Jordan, Georgette J.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5597.pdf),"Legislator, District 44",House of Representatives,Financial,02/02/2015,false
"Fukumoto Chang, Beth Keiko",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5596.pdf),"Legislator, District 36",House of Representatives,Financial,02/02/2015,false
"McKelvey, Angus L.K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5594.pdf),"Legislator, District 10",House of Representatives,Financial,02/02/2015,false
"McDermott, Robert C.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8759.pdf),"Legislator, District 40",House of Representatives,Financial,02/02/2015,false
"Ward, Gene R.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8758.pdf),"Legislator, District 17",House of Representatives,Financial,02/02/2015,false
"Matsumoto, Lauren K.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8757.pdf),"Legislator, District 45",House of Representatives,Financial,02/02/2015,false
"Oshiro, Marcus R.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8755.pdf),"Legislator, District 46",House of Representatives,Financial,02/02/2015,false
"Nishimoto, Scott Y.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5593.pdf),"Legislator, District 21",House of Representatives,Financial,02/02/2015,false
"Belatti, Della Au",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5592.pdf),"Legislator, District 24",House of Representatives,Financial,02/02/2015,false
"Lee, Christopher Kalani Cushman",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5590.pdf),"Legislator, District 51",House of Representatives,Financial,02/02/2015,false
"DeGuzman, Susan N.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5589.pdf),"Board Member, Commissioner",Hawaii State Ethics Commission,Financial,02/02/2015,false
"Ito, Kenneth T.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5587.pdf),"Legislator, District 49",House of Representatives,Financial,02/02/2015,false
"Lowen, Nicole E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5566.pdf),"Legislator, District 6",House of Representatives,Financial,02/02/2015,false
"Kouchi, Ronald D.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5562.pdf),"Legislator, District 8",Senate,Financial,02/02/2015,false
"Harimoto, Breene Y.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5557.pdf),"Legislator, District 16",Senate,Financial,02/02/2015,false
"LoPresti, Matthew S.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5553.pdf),"Legislator, District 41",House of Representatives,Financial,02/02/2015,false
"Tsuji, Clifton K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5552.pdf),"Legislator, District 2",House of Representatives,Financial,02/02/2015,false
"Riviere, Gilbert R.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5551.pdf),"Legislator, District 23",Senate,Financial,02/02/2015,false
"Pouha, Nafetalai N.F.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5544.pdf),"Legislator, District 47",House of Representatives,Financial,02/01/2015,false
"Saiki, Scott K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5543.pdf),"Legislator, District 26",House of Representatives,Financial,02/01/2015,false
"Hashem, Mark Jun",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5545.pdf),"Legislator, District 18",House of Representatives,Financial,02/01/2015,false
"Shimabukuro-Geiser, Phyllis S.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5546.pdf),Deputy Director,Department of Agriculture,Financial,02/01/2015,false
"Baker, Rosalyn H.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5538.pdf),"Legislator, District 6",Senate,Financial,01/30/2015,false
"Keohokalole, Jarrett K.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8695.pdf),"Legislator, District 48",House of Representatives,Financial,01/30/2015,false
"Creagan, Richard P.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5532.pdf),"Legislator, District 5",House of Representatives,Financial,01/30/2015,false
"Shimabukuro, Maile S.L.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5501.pdf),"Legislator, District 21",Senate,Financial,01/30/2015,false
"Brower, Thomas M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8694.pdf),"Legislator, District 22",House of Representatives,Financial,01/30/2015,false
"Choy, Isaac William",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5521.pdf),"Legislator, District 23",House of Representatives,Financial,01/30/2015,false
"Woodson, Justin H.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5486.pdf),"Legislator, District 9",House of Representatives,Financial,01/29/2015,false
"Hara, Kenneth S.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5491.pdf),"Deputy Director, Deputy Adjutant General",Department of Defense,Financial,01/29/2015,false
"Dela Cruz, Donovan Michael",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5490.pdf),"Legislator, District 22",Senate,Financial,01/29/2015,false
"Butay, Jade Tabios",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5483.pdf),Deputy Director,Department of Transportation,Financial,01/29/2015,false
"Tupola, Andria P.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5481.pdf),"Legislator, District 43",House of Representatives,Financial,01/29/2015,false
"Morikawa, Daynette S.P.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5478.pdf),"Legislator, District 16",House of Representatives,Financial,01/29/2015,false
"Kidani, Michelle N.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5468.pdf),"Legislator, District 18",Senate,Financial,01/29/2015,false
"Kahele, Gilbert",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5455.pdf),"Legislator, District 1",Senate,Financial,01/29/2015,false
"Say, Calvin K.Y.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5454.pdf),"Legislator, District 20",House of Representatives,Financial,01/29/2015,false
"Kim, Donna Mercado",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8762.pdf),"Legislator, District 14",Senate,Financial,01/29/2015,false
"Johanson, Aaron L.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8760.pdf),"Legislator, District 31",House of Representatives,Financial,01/29/2015,false
"Slom, Samuel M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8754.pdf),"Legislator, District 9",Senate,Financial,01/29/2015,false
"Takayama, Gregg T.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5423.pdf),"Legislator, District 34",House of Representatives,Financial,01/28/2015,false
"Cachola, Romeo M.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5424.pdf),"Legislator, District 30",House of Representatives,Financial,01/28/2015,false
"Takumi, Roy M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8655.pdf),"Legislator, District 35",House of Representatives,Financial,01/28/2015,false
"Ando, Marshall H.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8660.pdf),Engineering Program Manager,Department of Transportation,Gift,01/28/2015,false
"Nakashima, Mark M.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5446.pdf),"Legislator, District 1",House of Representatives,Financial,01/28/2015,false
"Evans, Cynthia Frances Wood",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8657.pdf),"Legislator, District 7",House of Representatives,Financial,01/28/2015,false
"Keith-Agaran, Gilbert S.C.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5445.pdf),"Legislator, District 5",Senate,Financial,01/28/2015,false
"English, J. Kalani",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5434.pdf),"Legislator, District 7",Senate,Financial,01/28/2015,false
"Chun Oakland, Suzanne N.J.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8656.pdf),"Legislator, District 13",Senate,Financial,01/28/2015,false
"Tokuda, Jill Naomi",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5444.pdf),"Legislator, District 24",Senate,Financial,01/28/2015,false
"Gabbard, Gerald Michael",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5435.pdf),"Legislator, District 20",Senate,Financial,01/28/2015,false
"Tokioka, James K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5410.pdf),"Legislator, District 15",House of Representatives,Financial,01/27/2015,false
"Inouye, Lorraine Rodero",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5399.pdf),"Legislator, District 4",Senate,Financial,01/27/2015,false
"Taniguchi, Brian T.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5398.pdf),"Legislator, District 11",Senate,Financial,01/27/2015,false
"Mizuno, John Musashi",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5396.pdf),"Legislator, District 28",House of Representatives,Financial,01/27/2015,false
"Galuteria, Brickwood M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8659.pdf),"Legislator, District 12",Senate,Financial,01/27/2015,false
"Yamane, Ryan Ichiro",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5395.pdf),"Legislator, District 37",House of Representatives,Financial,01/27/2015,false
"San Buenaventura, Joy A.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5401.pdf),"Legislator, District 4",House of Representatives,Financial,01/27/2015,false
"Cullen, Ty J.K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5379.pdf),"Legislator, District 39",House of Representatives,Financial,01/26/2015,false
"Kobayashi, Bertrand Y.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8622.pdf),"Legislator, District 19",House of Representatives,Financial,01/26/2015,false
"Green, Joshua B.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8619.pdf),"Legislator, District 3",Senate,Financial,01/26/2015,false
"Thielen, Laura H.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5343.pdf),"Legislator, District 25",Senate,Financial,01/26/2015,false
"Yamashita, Kyle T.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8620.pdf),"Legislator, District 12",House of Representatives,Financial,01/23/2015,false
"Espero, William Calip",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5337.pdf),"Legislator, District 19",Senate,Financial,01/23/2015,false
"Ruderman, Russell E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5331.pdf),"Legislator, District 2",Senate,Financial,01/23/2015,false
"Aquino, Henry James C.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5317.pdf),"Legislator, District 38",House of Representatives,Financial,01/22/2015,false
"Luke, Sylvia J.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5303.pdf),"Legislator, District 25",House of Representatives,Financial,01/21/2015,false
"Rhoads, Karl A.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8549.pdf),"Legislator, District 29",House of Representatives,Financial,01/20/2015,false
"Roth, Randall W.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_5284.pdf),Professor,University of Hawaii,Gift,01/16/2015,false
"Kong, Samuel Satoru",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5285.pdf),"Legislator, District 33",House of Representatives,Financial,01/16/2015,false
"Kawakami, Derek S.K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5279.pdf),"Legislator, District 14",House of Representatives,Financial,01/16/2015,false
"Har, Sharon E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5268.pdf),"Legislator, District 42",House of Representatives,Financial,01/14/2015,false
"Ahu Isa, Leinaala S.P.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8432.pdf),"Board Member, Commissioner, Trustee",Office of Hawaiian Affairs,Financial,01/13/2015,false
"Ohno, Takashi",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_5245.pdf),"Legislator, District 27",House of Representatives,Financial,01/12/2015,false
"Laborte, Carolyn L.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_5240.pdf),Auditor,Department of Commerce and Consumer Affairs,Gift,01/12/2015,false
"Nishihara, Clarence K.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8323.pdf),"Legislator, District 17",Senate,Financial,01/06/2015,false
"Thielen, Cynthia H.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8321.pdf),"Legislator, District 50",House of Representatives,Financial,01/06/2015,false
"Nishimoto, James K.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-8314.pdf),"Director, also Collective Bargaining Chief Negotiator",Department of Human Resources Development,Financial,01/05/2015,false
"Halagao, Patricia E.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5186.pdf),"Board Member, Commissioner",Board of Education,Financial,01/05/2015,false
"Carnate, Gerobin",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8301.pdf),Department Head,Department of Transportation,Gift,01/02/2015,false
"McCartney, Michael J.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8315.pdf),Chief of Staff,Office of the Governor,Financial,01/02/2015,false
"Fuchigami, Ford N.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_5172.pdf),Director,Department of Transportation,Financial,01/02/2015,false
"Chong, Gordon W.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8302.pdf),Engineer,Department of Agriculture,Gift,01/02/2015,false
"Ige, David Y.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5166.pdf),Governor,Office of the Governor,Financial,12/31/2014,false
"Abercrombie, Neil",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5149.pdf),Governor,Office of the Governor,Gift,12/23/2014,false
"Sullivan, Jan Naoe",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8246.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,12/18/2014,true
"San Buenaventura, Joy A.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5113.pdf),"Legislator, District 4",House of Representatives,Financial,12/08/2014,false
"Matsuoka, Carol T.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8199.pdf),Program Specialist,Judiciary,Gift,12/03/2014,false
"Kong, Samuel Satoru",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5107.pdf),"Legislator, District 33",House of Representatives,Financial,12/02/2014,false
"Tsuruda, Lisa-Anne L.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5098.pdf),Teacher,Department of Education,Gift,11/25/2014,false
"Coppa, Bruce Alan",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5097.pdf),Chief of Staff,Office of the Governor,Gift,11/25/2014,false
"Harimoto, Breene Y.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5089.pdf),"Legislator, District 16",Senate,Financial,11/22/2014,false
"Shibata, Corey B.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5087.pdf),Building Engineer V,Department of Accounting and General Services,Gift,11/21/2014,false
"Chin, Kathleen P.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5085.pdf),"Board Member, Commissioner",Hawaiian Homes Commission,Financial,11/19/2014,false
"Nakasato, Steven E.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8162.pdf),"Board Member, Commissioner",Hawaii Teacher Standards Board,Gift,11/17/2014,false
"Bhanot, Pankaj",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5078.pdf),Division Administrator,Department of Human Services,Gift,11/13/2014,false
"Lewis, Joan K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8150.pdf),Teacher,Department of Education,Gift,11/10/2014,false
"Kagawa, Donna Lum",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5076.pdf),Complex Area Superintendent,Department of Education,Gift,11/09/2014,false
"Bley-Vroman, Robert W.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5073.pdf),"Chancellor, Interim",University of Hawaii,Financial,11/07/2014,false
"Hong, Glenn K.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5064.pdf),"Board Member, Commissioner",Board of Agriculture,Financial,11/05/2014,false
"Iwase, Jan W.A.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8118.pdf),Principal,Department of Education,Gift,11/05/2014,false
"Ahuna, Daniel C.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5066.pdf),Trustee,Office of Hawaiian Affairs,Financial,11/05/2014,false
"Ahuna, Daniel C.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5062.pdf),Trustee,Office of Hawaiian Affairs,Gift,11/05/2014,false
"Paul, Richard W.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5059.pdf),Educational Officer - Principal,Department of Education,Gift,11/04/2014,false
"Machado, Colette Y.P.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5051.pdf),Trustee,Office of Hawaiian Affairs,Financial,10/30/2014,false
"Fukumoto, Rona S.Y.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5050.pdf),"Board Member, Commissioner",Hawaii Housing Finance and Development Corporation,Financial,10/29/2014,false
"Collins, Charles",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8098.pdf),"Candidate, Governor",,Candidate Financial,10/28/2014,false
"Takai, Kyle Mark",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8095.pdf),"Legislator, District 33",House of Representatives,Gift,10/28/2014,false
"Hiranaga, Kent M.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5048.pdf),"Board Member, Commissioner",Land Use Commission,Financial,10/28/2014,false
"LaLanne, Jon A.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8088.pdf),"Candidate, Representative",,Candidate Financial,10/23/2014,false
"Aila, William J.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8122.pdf),Chairperson,Department of Land and Natural Resources,Gift,10/23/2014,false
"Kahele, Melvin Y.C.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8087.pdf),"Board Member, Commissioner",Hawaii Housing Finance and Development Corporation,Financial,10/22/2014,false
"Miranda, Edwin L.P.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8074.pdf),"Candidate, Representative",,Candidate Financial,10/21/2014,false
"Labuguen, Sandra E.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_5041.pdf),Branch Manager,Department of Public Safety,Gift,10/20/2014,false
"Acoba, Simeon R.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8071.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,10/20/2014,false
"Evans, Cynthia Frances Wood",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8054.pdf),"Candidate, Representative",,Candidate Financial,10/16/2014,false
"Aczon, Edmund C.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5036.pdf),"Board Member, Commissioner",Land Use Commission,Financial,10/15/2014,false
"Mathieu, Victoria E.",Form (http://files.hawaii.gov/ethics/disc/2014/CandFin_5031.pdf),"Candidate, Representative",,Candidate Financial,10/13/2014,false
"Martinez, Rosebella Ellazar",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8031.pdf),"Candidate, Representative",,Candidate Financial,10/08/2014,false
"Woodside, Ulalia",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5025.pdf),"Board Member, Commissioner",Board of Land and Natural Resources,Financial,10/06/2014,false
"Taira, Edwin S.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-8030.pdf),"Board Member, Commissioner",Hawaii Housing Finance and Development Corporation,Financial,10/06/2014,false
"Buck, Michael G.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5023.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,10/05/2014,false
"Wong, Arnold K.H.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5021.pdf),"Board Member, Commissioner",Land Use Commission,Financial,10/03/2014,false
"Waihe'e, IV, John David",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5019.pdf),Trustee,Office of Hawaiian Affairs,Financial,10/02/2014,false
"Abbott, Thorne E.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_5010.pdf),"Board Member, Commissioner",Legacy Land Conservation Commission,Financial,09/29/2014,false
"Oishi, Darcy E.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7965.pdf),"Board Member, Commissioner",Natural Area Reserves System Commission,Financial,09/23/2014,false
"Beamer, Kamanamaikalani B.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4987.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,09/22/2014,false
"Pavao, Milton D.D.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4985.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,09/22/2014,false
"Roehrig, Stanley H.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4976.pdf),"Board Member, Commissioner",Board of Land and Natural Resources,Financial,09/21/2014,false
"Uyehara, Letitia Naomi",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4933.pdf),"Board Member, Commissioner",Agribusiness Development Corporation,Financial,09/16/2014,false
"Cachola, Romeo M.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7904.pdf),"Legislator, District 30",House of Representatives,Financial,09/15/2014,true
"Yamane, Noreen R.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7899.pdf),Chancellor,University of Hawaii,Financial,09/15/2014,false
"Minaai, Brian K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7891.pdf),Associate Vice President,University of Hawaii,Gift,09/12/2014,true
"Espero, Jason Tabiolo",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4902.pdf),"Board Member, Commissioner",Hawaii Public Housing Authority,Financial,09/11/2014,false
"Schenk, Douglas R.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4881.pdf),"Board Member, Commissioner",Agribusiness Development Corporation,Financial,09/10/2014,false
"Scheuer, Jonathan Lawrence Likeke",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4862.pdf),"Board Member, Commissioner",Land Use Commission,Financial,09/08/2014,false
"Nishimoto, Eric K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7810.pdf),Branch Chief,Department of Accounting and General Services,Gift,09/04/2014,false
"Tamanaha, David Sadao",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7814.pdf),Vice Chancellor of Administrative Services,University of Hawaii,Gift,09/04/2014,false
"Straney, Donald O.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7805.pdf),Chancellor,University of Hawaii,Financial,09/04/2014,false
"Straney, Donald O.",Form (http://files.hawaii.gov/ethics/disc/2013/FinShort_4793.pdf),Chancellor,University of Hawaii,Financial,09/03/2014,false
"Richardson, William K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7804.pdf),"Board Member, Commissioner",Hawaiian Homes Commission,Financial,09/03/2014,false
"Lindsey, Terez M.A.",Form (http://files.hawaii.gov/ethics/disc/2014/CandFin_4788.pdf),"Candidate, Senator",,Candidate Financial,08/28/2014,false
"Kashiwaeda, Brian",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7788.pdf),Director,University of Hawaii,Gift,08/27/2014,false
"Javinar, Jan M.",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_4783.pdf),"Associate Vice President, for Student Affairs (Interim)",University of Hawaii,Gift,08/26/2014,false
"Akana, Rowena M.N.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7777.pdf),"Candidate, Office of Hawaiian Affairs Trustee",,Candidate Financial,08/25/2014,false
"Trask, Mililani B.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7765.pdf),"Candidate, Office of Hawaiian Affairs Trustee",,Candidate Financial,08/21/2014,true
"Marten, Chayne Michael",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7742.pdf),"Candidate, Representative",,Candidate Financial,08/14/2014,false
"Itano, Joanne K.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7734.pdf),Associate Vice President,University of Hawaii,Gift,08/13/2014,false
"Yuen, Christopher J.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4767.pdf),"Board Member, Commissioner",Board of Land and Natural Resources,Financial,08/12/2014,true
"Yuen, Christopher J.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4765.pdf),"Board Member, Commissioner",Board of Land and Natural Resources,Financial,08/07/2014,false
"Wood, Melinda S.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4763.pdf),"Board Member, Commissioner",Hawaii State Ethics Commission,Financial,08/06/2014,false
"Nishida, Susan",Form (http://files.hawaii.gov/ethics/disc/2014/GiftDisc_4764.pdf),Education Specialist,University of Hawaii,Gift,08/06/2014,false
"Makekau, Kealii Jonathan",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7699.pdf),"Candidate, Office of Hawaiian Affairs Trustee",,Candidate Financial,08/05/2014,false
"Hannemann, Muliufi F.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7677.pdf),"Candidate, Governor",,Candidate Financial,08/04/2014,false
"Ebert, Roy S.",Form (http://files.hawaii.gov/ethics/disc/2014/Kfx10Dis-7689.pdf),"Candidate, Representative",,Candidate Financial,08/04/2014,false
"Buchanan, Lori L.",Form (http://files.hawaii.gov/ethics/disc/2014/FinLong_4759.pdf),"Board Member, Commissioner",Legacy Land Conservation Commission,Financial,08/01/2014,false
